Table 5. CRISPR Scores from Ba/F3 cells								
Gene	sgRNAs included	-IL-3 CS	+IL-3 CS	Differential CS	-IL-3 CS	+IL-3 CS	Differential CS	Average Differential CS
Clnk	10	0,143	0,131	0,012	0,032	0,279	-0,247	-0,1175
Mob3c	10	0,057	0,134	-0,077	-0,105	0,053	-0,158	-0,1175
Myo3b	10	0,034	-0,198	0,232	-0,771	-0,304	-0,467	-0,1175
Bves	9	0,243	0,038	0,205	-0,061	0,379	-0,44	-0,1175
Glycam1	9	0,094	0,16	-0,066	-0,114	0,055	-0,169	-0,1175
Mcf2	9	0,461	0,206	0,255	-0,04	0,45	-0,49	-0,1175
Fez2	10	-0,106	0,15	-0,256	-0,148	-0,169	0,021	-0,1175
A430107P09Rik	9	-0,532	-0,438	-0,094	-0,576	-0,435	-0,141	-0,1175
Vcam1	8	0,256	0,529	-0,273	0,553	0,515	0,038	-0,1175
Zrsr1	9	-0,026	0,056	-0,082	-0,19	-0,037	-0,153	-0,1175
Kcna1	7	0,049	0,234	-0,185	0,08	0,13	-0,05	-0,1175
Fam114a1	9	0,12	-0,092	0,212	-0,212	0,235	-0,447	-0,1175
Myh7b	9	0,19	-0,11	0,3	-0,593	-0,058	-0,535	-0,1175
Utp20	8	-3,182	-2,846	-0,336	-2,533	-2,634	0,101	-0,1175
Prl8a1	10	0,477	0,504	-0,027	0,177	0,384	-0,207	-0,117
Pawr	8	0,24	0,275	-0,035	0,05	0,249	-0,199	-0,117
Tesk2	10	0,097	0,262	-0,165	-0,111	-0,042	-0,069	-0,117
Hoxa9	10	-0,221	-0,157	-0,064	-0,055	0,115	-0,17	-0,117
Itgb5	10	-0,382	-0,042	-0,34	-0,208	-0,314	0,106	-0,117
Mier2	10	0,005	0,069	-0,064	0,12	0,29	-0,17	-0,117
Rfx5	9	-0,753	-0,281	-0,472	-0,484	-0,722	0,238	-0,117
Dhx38	10	-3,1	-3,023	-0,077	-2,851	-2,694	-0,157	-0,117
Sema6b	10	-0,324	0,022	-0,346	-0,426	-0,538	0,112	-0,117
Usp15	9	-0,854	-0,741	-0,113	-1,138	-1,017	-0,121	-0,117
Cpa6	10	0,428	0,241	0,187	-0,118	0,303	-0,421	-0,117
Cnksr3	10	-0,554	-0,671	0,117	-0,745	-0,394	-0,351	-0,117
Ankfn1	10	0,34	0,095	0,245	-0,163	0,316	-0,479	-0,117
Tmem205	10	0,187	0,225	-0,038	0,38	0,576	-0,196	-0,117
Traf3ip2	10	-0,839	-0,747	-0,092	-1,394	-1,252	-0,142	-0,117
2310002J15Rik	10	-0,717	-0,946	0,229	-1,076	-0,614	-0,462	-0,1165
Sh3bgrl2	9	0,36	0,275	0,085	0,127	0,445	-0,318	-0,1165
Ifitm3	10	-0,31	-0,224	-0,086	-0,388	-0,241	-0,147	-0,1165
Fabp2	10	0,344	0,168	0,176	-0,057	0,352	-0,409	-0,1165
Naif1	10	-0,474	-0,237	-0,237	-0,353	-0,357	0,004	-0,1165
Ror2	10	-0,394	-0,373	-0,021	-0,565	-0,353	-0,212	-0,1165
Clec14a	9	-0,057	0,004	-0,061	-0,257	-0,085	-0,172	-0,1165
Cbx7	8	-0,053	-0,238	0,185	-0,488	-0,07	-0,418	-0,1165
Egflam	7	-0,154	0,076	-0,23	0,039	0,042	-0,003	-0,1165
Trim52	9	-0,26	0,257	-0,517	-0,27	-0,554	0,284	-0,1165
Xrcc2	8	-2,401	-1,944	-0,457	-3,152	-3,377	0,225	-0,116
Supv3l1	9	-4,607	-5,272	0,665	-6,473	-5,576	-0,897	-0,116
Tmem86b	9	-0,151	-0,373	0,222	-1,032	-0,578	-0,454	-0,116
Slc30a7	9	0,044	-0,024	0,068	-0,022	0,278	-0,3	-0,116
Tmtc2	9	0,353	0,244	0,109	0,199	0,54	-0,341	-0,116
Ckap2	10	-0,481	-0,309	-0,172	-1,354	-1,294	-0,06	-0,116
Slco6d1	10	0,186	0,338	-0,152	-0,07	0,01	-0,08	-0,116
Triml2	9	0,165	0,437	-0,272	0,272	0,232	0,04	-0,116
Crygs	9	0,055	0,106	-0,051	0,146	0,327	-0,181	-0,116
Dbpht2	7	0,297	0,309	-0,012	-0,124	0,096	-0,22	-0,116
Rnf187	9	-0,07	0,032	-0,102	0,058	0,188	-0,13	-0,116
Surf2	10	-0,011	-0,116	0,105	-0,135	0,202	-0,337	-0,116
Hadha	8	-0,023	0,025	-0,048	-0,253	-0,069	-0,184	-0,116
Cyp17a1	8	0,114	0,176	-0,062	-0,258	-0,088	-0,17	-0,116
Xkr9	8	0,202	0,293	-0,091	-0,116	0,025	-0,141	-0,116
Rnf207	8	-0,035	0,089	-0,124	0,04	0,148	-0,108	-0,116
Map2k7	9	-0,088	0,015	-0,103	-0,094	0,035	-0,129	-0,116
Defb12	10	-0,18	-0,018	-0,162	-0,102	-0,032	-0,07	-0,116
1300017J02Rik	9	0,449	0,292	0,157	-0,022	0,367	-0,389	-0,116
Gm5506	10	-3,751	-4,049	0,298	-5,041	-4,511	-0,53	-0,116
Eno1	10	-3,751	-4,049	0,298	-5,041	-4,511	-0,53	-0,116
Atp5j	10	-1,729	-1,832	0,103	-2,351	-2,017	-0,334	-0,1155
Klf5	9	-0,316	-0,126	-0,19	-0,449	-0,408	-0,041	-0,1155
Efcab5	8	0,107	0,227	-0,12	0,223	0,334	-0,111	-0,1155
1700024P16Rik	10	-0,058	0,136	-0,194	-0,144	-0,107	-0,037	-0,1155
Ccr7	9	-0,13	-0,187	0,057	-0,289	-0,001	-0,288	-0,1155
BC017643	10	0,211	0,211	0	-0,026	0,205	-0,231	-0,1155
Fgf20	7	-0,127	-0,072	-0,055	-0,084	0,092	-0,176	-0,1155
Oas1a	10	0,365	0,595	-0,23	-0,044	-0,043	-0,001	-0,1155
Ap3m1	10	0,175	0,141	0,034	-0,118	0,146	-0,264	-0,115
Dnajc28	9	0,076	0,047	0,029	-0,254	0,005	-0,259	-0,115
Slc25a48	9	0	0,123	-0,123	0,087	0,194	-0,107	-0,115
1700010D01Rik	10	0,011	0,082	-0,071	0,035	0,194	-0,159	-0,115
Prl3d2	10	0,028	0,222	-0,194	-0,116	-0,08	-0,036	-0,115
Anks6	9	-0,133	0,249	-0,382	0,047	-0,105	0,152	-0,115
Lmna	10	-0,961	-0,783	-0,178	-1,084	-1,032	-0,052	-0,115
AK129341	10	-0,362	-0,395	0,033	-0,504	-0,241	-0,263	-0,115
Gm438	10	0,2	0,111	0,089	-0,104	0,215	-0,319	-0,115
Zufsp	9	-0,053	0,175	-0,228	0,095	0,097	-0,002	-0,115
Dppa5a	10	-1,963	-2,154	0,191	-2,211	-1,79	-0,421	-0,115
Hrct1	10	-0,68	-0,471	-0,209	-0,945	-0,924	-0,021	-0,115
Tgfb1	10	0,277	0,263	0,014	0,235	0,479	-0,244	-0,115
Lysmd4	10	-0,277	-0,344	0,067	-0,726	-0,43	-0,296	-0,1145
Gad1	9	-0,196	0,203	-0,399	0,217	0,047	0,17	-0,1145
Veph1	10	0,325	0,307	0,018	0,285	0,532	-0,247	-0,1145
Zfp369	9	-0,032	0,113	-0,145	0,077	0,161	-0,084	-0,1145
Tdh	10	-0,228	0,066	-0,294	-0,319	-0,384	0,065	-0,1145
Krtap6-2	10	0,101	0,185	-0,084	-0,112	0,033	-0,145	-0,1145
Apc	10	-0,102	-0,011	-0,091	-0,028	0,11	-0,138	-0,1145
Kcne1	9	0,435	0,374	0,061	-0,248	0,042	-0,29	-0,1145
Aif1	10	0,014	0,181	-0,167	-0,405	-0,343	-0,062	-0,1145
Crip1	9	0,207	0,238	-0,031	0,093	0,291	-0,198	-0,1145
B3galnt1	9	0,03	0,013	0,017	-0,304	-0,058	-0,246	-0,1145
Rcor3	10	0,077	0,079	-0,002	-0,023	0,204	-0,227	-0,1145
Slfn4	10	0,298	0,108	0,19	-0,073	0,346	-0,419	-0,1145
St6gal1	10	0,256	0,475	-0,219	0,207	0,217	-0,01	-0,1145
Smoc2	9	0,014	-0,25	0,264	-0,384	0,109	-0,493	-0,1145
1700025G04Rik	9	0,167	-0,08	0,247	-0,597	-0,121	-0,476	-0,1145
Dspp	8	-0,577	-0,357	-0,22	-0,408	-0,399	-0,009	-0,1145
Sprr2i	10	-0,613	-0,683	0,07	-0,986	-0,687	-0,299	-0,1145
Gm7361	10	-1,766	-1,129	-0,637	-1,611	-2,019	0,408	-0,1145
Srp19	10	-3,159	-2,573	-0,586	-3,364	-3,721	0,357	-0,1145
Gria3	9	0,151	0,444	-0,293	0,565	0,5	0,065	-0,114
Idi2	9	-0,872	-0,635	-0,237	-1,002	-1,011	0,009	-0,114
Smarca1	7	0,319	0,401	-0,082	0,499	0,645	-0,146	-0,114
Ppfia2	10	0,359	0,463	-0,104	0,037	0,161	-0,124	-0,114
Trim66	10	-0,339	-0,321	-0,018	-0,526	-0,316	-0,21	-0,114
Lrrc72	9	0,201	0,182	0,019	0,088	0,335	-0,247	-0,114
Fbxw2	9	0,076	-0,008	0,084	-0,286	0,026	-0,312	-0,114
Rab27b	10	0,068	0,252	-0,184	-0,002	0,042	-0,044	-0,114
Ptplad2	9	0,306	0,218	0,088	0,178	0,494	-0,316	-0,114
Dok7	9	-0,225	-0,276	0,051	-0,546	-0,267	-0,279	-0,114
Stx3	10	-0,001	0,087	-0,088	-0,088	0,052	-0,14	-0,114
Snx6	9	0,227	0,154	0,073	0,075	0,376	-0,301	-0,114
4933402J07Rik	10	-0,072	0,106	-0,178	-0,216	-0,166	-0,05	-0,114
Tppp2	10	0,201	0,263	-0,062	0,252	0,418	-0,166	-0,114
Ift81	10	0,08	0,312	-0,232	0,377	0,373	0,004	-0,114
Npc1l1	9	-0,458	-0,096	-0,362	-0,037	-0,171	0,134	-0,114
Sec14l5	9	0,135	-0,208	0,343	-0,425	0,146	-0,571	-0,114
Rcn1	10	-0,021	-0,376	0,355	-0,947	-0,364	-0,583	-0,114
Ccdc13	9	0,273	0,412	-0,139	0,025	0,114	-0,089	-0,114
Pcdhb4	9	-0,829	-0,918	0,089	-0,748	-0,431	-0,317	-0,114
L3mbtl1	10	-0,328	-0,584	0,256	-1,035	-0,551	-0,484	-0,114
Nfs1	9	-4,634	-4,041	-0,593	-4,903	-5,268	0,365	-0,114
Sdhd	10	-2,808	-2,793	-0,015	-3,251	-3,038	-0,213	-0,114
Tepp	9	0,429	0,131	0,298	-0,333	0,192	-0,525	-0,1135
Setd4	10	-0,463	-0,385	-0,078	-0,538	-0,389	-0,149	-0,1135
Gnpda2	8	0,232	0,341	-0,109	0,151	0,269	-0,118	-0,1135
Hspa1l	10	-0,542	-0,613	0,071	-0,729	-0,431	-0,298	-0,1135
Tex40	10	0,056	-0,113	0,169	-0,661	-0,265	-0,396	-0,1135
Crybg3	9	-0,597	-0,465	-0,132	-0,449	-0,354	-0,095	-0,1135
Slc35e3	8	-0,002	-0,08	0,078	-0,588	-0,283	-0,305	-0,1135
Zfp329	9	0,304	0,186	0,118	-0,172	0,173	-0,345	-0,1135
Patz1	9	-0,089	-0,019	-0,07	-0,22	-0,063	-0,157	-0,1135
Tln1	10	-0,052	0,246	-0,298	0,378	0,307	0,071	-0,1135
Cyb5r2	10	0,333	0,415	-0,082	0,09	0,235	-0,145	-0,1135
Lrp5	10	-0,353	-0,404	0,051	-0,705	-0,427	-0,278	-0,1135
Timm21	9	0,178	0,129	0,049	-0,033	0,242	-0,275	-0,113
Obox6	9	0,07	-0,057	0,127	-0,329	0,024	-0,353	-0,113
Slitrk5	8	0,253	0,047	0,206	-0,547	-0,115	-0,432	-0,113
Cep170	7	-0,7	-0,753	0,053	-0,561	-0,282	-0,279	-0,113
Aldh5a1	8	0,03	-0,029	0,059	-0,005	0,28	-0,285	-0,113
Calr3	10	-0,106	-0,013	-0,093	-0,133	0	-0,133	-0,113
Gsta3	10	0,17	0,007	0,163	-0,389	0	-0,389	-0,113
Gstk1	10	0,187	0,188	-0,001	0,023	0,248	-0,225	-0,113
Kcnh3	9	-0,328	-0,09	-0,238	-0,415	-0,427	0,012	-0,113
Ptpla	10	0,363	0,167	0,196	0,012	0,434	-0,422	-0,113
Spag6	10	0,124	0,187	-0,063	0,054	0,217	-0,163	-0,113
Rgsl1	9	0,056	0,067	-0,011	-0,206	0,009	-0,215	-0,113
Gkn3	9	0,158	0,289	-0,131	-0,107	-0,012	-0,095	-0,113
Cdh15	10	-0,067	-0,412	0,345	-0,887	-0,316	-0,571	-0,113
Pink1	7	0,05	-0,099	0,149	-0,068	0,307	-0,375	-0,113
Ago3	10	0,049	0,162	-0,113	-0,075	0,038	-0,113	-0,113
Nlgn2	10	-0,356	-0,28	-0,076	-0,44	-0,29	-0,15	-0,113
Tesk1	9	0,025	0,156	-0,131	0,077	0,172	-0,095	-0,113
Arl6ip5	10	0,109	0,289	-0,18	0,263	0,309	-0,046	-0,113
2210404O07Rik	9	-0,743	-0,546	-0,197	-0,547	-0,518	-0,029	-0,113
Cxcr2	9	0,19	0,15	0,04	0,078	0,344	-0,266	-0,113
Ttc32	9	0,225	0,212	0,013	0,233	0,472	-0,239	-0,113
Dsc3	10	0,322	0,278	0,044	0,284	0,553	-0,269	-0,1125
A430089I19Rik	10	-1,532	-1,143	-0,389	-1,534	-1,698	0,164	-0,1125
Msrb2	8	0,34	0,341	-0,001	0,217	0,441	-0,224	-0,1125
Il25	9	0,041	0,074	-0,033	-0,273	-0,081	-0,192	-0,1125
Prr18	10	-0,662	-0,623	-0,039	-0,832	-0,646	-0,186	-0,1125
Xpnpep3	8	-0,08	-0,035	-0,045	-0,12	0,06	-0,18	-0,1125
Ttc17	10	-0,513	-0,499	-0,014	-0,707	-0,496	-0,211	-0,1125
Gng11	8	0,539	0,426	0,113	0,191	0,529	-0,338	-0,1125
4933405L10Rik	7	-0,034	-0,411	0,377	-0,768	-0,166	-0,602	-0,1125
Abhd5	9	-0,694	-0,867	0,173	-1,159	-0,761	-0,398	-0,1125
Akna	8	-0,027	0,045	-0,072	-0,491	-0,338	-0,153	-0,1125
Kcna2	9	-0,646	-0,624	-0,022	-0,966	-0,763	-0,203	-0,1125
Tmem200c	8	-0,58	-0,317	-0,263	-0,305	-0,343	0,038	-0,1125
Rgs18	10	0,234	0,487	-0,253	0,42	0,391	0,029	-0,112
Sec22a	10	0,126	0,258	-0,132	0,179	0,271	-0,092	-0,112
Nphs1	10	0,074	0,029	0,045	-0,108	0,161	-0,269	-0,112
Xkr6	9	0,149	0,192	-0,043	-0,385	-0,204	-0,181	-0,112
Galnt1	10	0,095	0,269	-0,174	0,173	0,223	-0,05	-0,112
Flnc	8	0,064	-0,171	0,235	-0,343	0,116	-0,459	-0,112
Rtl1	8	-0,224	-0,204	-0,02	-0,151	0,053	-0,204	-0,112
Prdx2	10	-0,136	-0,055	-0,081	-0,292	-0,149	-0,143	-0,112
Uck1	9	0,034	0,396	-0,362	0,102	-0,036	0,138	-0,112
Pdia3	10	0,492	0,508	-0,016	0,093	0,301	-0,208	-0,112
Acbd7	10	0,328	0,342	-0,014	-0,056	0,154	-0,21	-0,112
Ccnl2	7	-0,579	-0,476	-0,103	-0,591	-0,47	-0,121	-0,112
Rab30	10	-0,226	0,071	-0,297	0,007	-0,066	0,073	-0,112
Rev1	9	-0,951	-0,404	-0,547	-0,676	-0,999	0,323	-0,112
Slc46a1	9	-0,904	-0,665	-0,239	-0,701	-0,716	0,015	-0,112
Zfp931	9	-0,676	-0,519	-0,157	-1,158	-1,091	-0,067	-0,112
Gpatch1	9	-1,377	-0,898	-0,479	-0,601	-0,856	0,255	-0,112
Nedd4l	8	-1,495	-1,233	-0,262	-1,107	-1,145	0,038	-0,112
Nr1i2	10	-0,184	-0,283	0,099	-0,182	0,141	-0,323	-0,112
Pctp	10	-0,056	0,173	-0,229	-0,154	-0,159	0,005	-0,112
Zfy2	9	0,538	0,391	0,147	0,219	0,59	-0,371	-0,112
Podxl	7	0,225	0,058	0,167	-0,038	0,353	-0,391	-0,112
Prtg	10	-0,988	-1,097	0,109	-1,042	-0,71	-0,332	-0,1115
Ceacam11	10	0,439	0,551	-0,112	0,175	0,286	-0,111	-0,1115
Insr	9	-0,113	-0,311	0,198	-0,765	-0,344	-0,421	-0,1115
Cdc25c	9	-0,031	-0,085	0,054	-0,216	0,061	-0,277	-0,1115
Arntl2	9	0,1	0,036	0,064	-0,537	-0,25	-0,287	-0,1115
Tro	10	-0,129	-0,075	-0,054	-0,133	0,036	-0,169	-0,1115
Ctdsp2	10	0,126	0,281	-0,155	0,052	0,12	-0,068	-0,1115
Gm19402	9	-0,089	0,003	-0,092	-0,455	-0,324	-0,131	-0,1115
Lrit3	10	0,15	0,187	-0,037	0,267	0,453	-0,186	-0,1115
Cldn17	9	0,213	0,186	0,027	0,175	0,425	-0,25	-0,1115
Eml2	9	-0,797	-1,141	0,344	-1,355	-0,788	-0,567	-0,1115
Oasl2	8	-0,122	-0,066	-0,056	-0,35	-0,183	-0,167	-0,1115
5830403L16Rik	9	-0,37	-0,339	-0,031	-0,608	-0,416	-0,192	-0,1115
Klhl14	9	-0,172	0,254	-0,426	0,121	-0,082	0,203	-0,1115
Gabrb1	10	-0,033	-0,114	0,081	-0,239	0,065	-0,304	-0,1115
Sbk3	10	0,012	-0,294	0,306	-0,577	-0,048	-0,529	-0,1115
Cdk7	10	-3,081	-3,845	0,764	-4,395	-3,408	-0,987	-0,1115
Cadps	8	-0,622	-1,067	0,445	-1,848	-1,181	-0,667	-0,111
Svs4	9	-0,643	-0,366	-0,277	-0,418	-0,473	0,055	-0,111
Nek10	7	-0,272	-0,4	0,128	-0,524	-0,174	-0,35	-0,111
Vps26b	9	0,112	0,177	-0,065	0,375	0,532	-0,157	-0,111
Trim71	9	-0,487	-0,246	-0,241	-0,399	-0,418	0,019	-0,111
Oca2	10	0,121	0,264	-0,143	0,167	0,246	-0,079	-0,111
Cdk5rap2	9	-1,755	-1,987	0,232	-2,597	-2,143	-0,454	-0,111
Lrrc6	9	-0,198	0,187	-0,385	-0,117	-0,28	0,163	-0,111
Jag2	10	-1,03	-0,545	-0,485	-0,646	-0,909	0,263	-0,111
Nudt18	9	-0,58	-0,613	0,033	-0,777	-0,522	-0,255	-0,111
Slc25a53	10	-0,063	-0,008	-0,055	-0,58	-0,413	-0,167	-0,111
Fosb	9	-0,783	-0,648	-0,135	-0,569	-0,482	-0,087	-0,111
Mal2	10	-0,355	-0,167	-0,188	-0,219	-0,185	-0,034	-0,111
Otub1	10	-0,395	-0,356	-0,039	-1,056	-0,874	-0,182	-0,1105
Rpe65	9	-0,398	-0,375	-0,023	-0,788	-0,59	-0,198	-0,1105
Mep1a	9	0,282	0,398	-0,116	0,497	0,602	-0,105	-0,1105
Zfp433	9	-0,579	-0,424	-0,155	-0,546	-0,48	-0,066	-0,1105
Pla2r1	10	-0,086	0,315	-0,401	0,008	-0,172	0,18	-0,1105
Lrtm2	8	0,023	0,176	-0,153	0,124	0,192	-0,068	-0,1105
Tram1	10	0,146	0,294	-0,148	0,058	0,131	-0,073	-0,1105
Tmem104	9	-0,326	-0,166	-0,16	-0,346	-0,285	-0,061	-0,1105
Ccr2	10	0,389	0,496	-0,107	0,211	0,325	-0,114	-0,1105
Gng4	8	0,083	0,435	-0,352	0,43	0,299	0,131	-0,1105
Prm3	8	0,341	0,381	-0,04	0,186	0,367	-0,181	-0,1105
Cftr	9	0,15	0,348	-0,198	0,035	0,058	-0,023	-0,1105
Ang4	10	0,156	0,081	0,075	0,019	0,315	-0,296	-0,1105
Ppp1r12b	10	-0,479	-0,265	-0,214	-0,325	-0,318	-0,007	-0,1105
Prn	9	-0,16	0,163	-0,323	0,521	0,419	0,102	-0,1105
Sdr16c5	9	0,233	0,307	-0,074	0,279	0,426	-0,147	-0,1105
Spcs3	10	-1,421	-1,857	0,436	-2,306	-1,65	-0,656	-0,11
Dcun1d3	9	0,076	-0,149	0,225	-0,508	-0,063	-0,445	-0,11
Dock7	9	0,141	0,218	-0,077	-0,122	0,021	-0,143	-0,11
Cd80	10	0,319	0,21	0,109	-0,163	0,166	-0,329	-0,11
Cln6	9	-0,703	-0,473	-0,23	-0,307	-0,317	0,01	-0,11
Rnasel	10	0,186	0,496	-0,31	0,374	0,284	0,09	-0,11
Ano3	9	0,526	0,648	-0,122	0,487	0,585	-0,098	-0,11
Oard1	9	0,317	0,264	0,053	0,085	0,358	-0,273	-0,11
Cdkl5	9	0,236	0,292	-0,056	0,195	0,359	-0,164	-0,11
Tmprss11d	7	0,245	0,354	-0,109	0,263	0,374	-0,111	-0,11
Apol6	9	-0,173	0,044	-0,217	-0,143	-0,14	-0,003	-0,11
Sri	10	0,132	0,472	-0,34	0,262	0,142	0,12	-0,11
Mrps7	10	-1,791	-1,932	0,141	-3,42	-3,059	-0,361	-0,11
Tubgcp6	8	-1,991	-2,204	0,213	-1,933	-1,501	-0,432	-0,1095
Sord	10	0,044	0,232	-0,188	0,104	0,135	-0,031	-0,1095
Fcgr4	10	0,295	0,45	-0,155	0,241	0,305	-0,064	-0,1095
Ankrd53	9	0,149	0,031	0,118	-0,167	0,17	-0,337	-0,1095
Lrrtm2	10	0,202	0,082	0,12	0,063	0,402	-0,339	-0,1095
St3gal5	10	0,397	0,457	-0,06	0,363	0,522	-0,159	-0,1095
Sox7	9	-0,079	0,177	-0,256	0,261	0,224	0,037	-0,1095
Ntan1	10	0,035	0,214	-0,179	-0,117	-0,077	-0,04	-0,1095
Fam160b1	10	0,042	0,243	-0,201	-0,071	-0,053	-0,018	-0,1095
Myl3	8	0,259	-0,147	0,406	-0,927	-0,302	-0,625	-0,1095
Erich1	9	-0,067	-0,201	0,134	-1,161	-0,808	-0,353	-0,1095
3425401B19Rik	10	-0,214	-0,044	-0,17	-0,321	-0,272	-0,049	-0,1095
Timm44	10	-2,258	-2,238	-0,02	-2,195	-1,996	-0,199	-0,1095
Hivep3	7	-0,691	-0,562	-0,129	-1,13	-1,04	-0,09	-0,1095
Tom1l2	10	-0,171	-0,473	0,302	-0,679	-0,159	-0,52	-0,109
Kcnj10	7	0,351	0,151	0,2	0,033	0,451	-0,418	-0,109
Tle3	10	-0,4	-0,47	0,07	-0,754	-0,466	-0,288	-0,109
Hes3	9	0,107	0,244	-0,137	0,3	0,381	-0,081	-0,109
Dmc1	8	0,257	0,677	-0,42	0,34	0,138	0,202	-0,109
Tmod4	9	-0,075	0,271	-0,346	-0,129	-0,257	0,128	-0,109
Six3	8	0,268	0,229	0,039	0,053	0,31	-0,257	-0,109
Neb	7	-0,253	0,199	-0,452	0,379	0,145	0,234	-0,109
Ass1	10	0,205	0,309	-0,104	0,253	0,367	-0,114	-0,109
Rasl10a	10	0,258	0,112	0,146	0,013	0,377	-0,364	-0,109
Wsb2	10	0,196	0,358	-0,162	0,162	0,218	-0,056	-0,109
Aloxe3	9	-0,268	-0,244	-0,024	-0,967	-0,773	-0,194	-0,109
Rpia	7	-3,596	-3,317	-0,279	-4,023	-4,084	0,061	-0,109
Prkd2	9	-1,196	-1,258	0,062	-1,239	-0,96	-0,279	-0,1085
AF366264	10	-0,866	-0,785	-0,081	-1,094	-0,958	-0,136	-0,1085
Fam81a	10	-0,117	-0,183	0,066	-0,5	-0,217	-0,283	-0,1085
Camsap2	9	-0,193	0,107	-0,3	-0,272	-0,355	0,083	-0,1085
Pyroxd2	9	-0,049	0,163	-0,212	-0,383	-0,378	-0,005	-0,1085
Dcbld2	10	-0,09	-0,355	0,265	-0,549	-0,067	-0,482	-0,1085
Amigo2	9	-0,144	0,114	-0,258	0,07	0,029	0,041	-0,1085
Serinc5	9	-0,134	0,091	-0,225	-0,143	-0,151	0,008	-0,1085
9430069I07Rik	9	-0,021	0,189	-0,21	0,237	0,244	-0,007	-0,1085
Pfkl	10	-0,226	-0,327	0,101	-0,758	-0,44	-0,318	-0,1085
Rsg1	9	0,058	-0,045	0,103	-0,085	0,235	-0,32	-0,1085
Uba7	10	-0,891	-0,864	-0,027	-0,707	-0,517	-0,19	-0,1085
Epha4	9	0,177	0,056	0,121	-0,056	0,282	-0,338	-0,1085
Tacc2	8	0,121	0,217	-0,096	0,442	0,563	-0,121	-0,1085
Zfp648	8	-1,043	-1,07	0,027	-1,541	-1,297	-0,244	-0,1085
AA792892	10	-1,025	-0,867	-0,158	-1,702	-1,643	-0,059	-0,1085
Crb3	9	0,359	0,548	-0,189	0,372	0,399	-0,027	-0,108
Acot9	9	0,367	0,543	-0,176	0,613	0,653	-0,04	-0,108
Sipa1	10	-0,294	-0,288	-0,006	-0,797	-0,587	-0,21	-0,108
Ttc30b	9	0,148	0,028	0,12	-0,234	0,102	-0,336	-0,108
Snx10	9	0,203	0,328	-0,125	0,002	0,093	-0,091	-0,108
9130401M01Rik	8	-0,116	-0,022	-0,094	-0,658	-0,536	-0,122	-0,108
Dmgdh	9	0,147	-0,001	0,148	-0,092	0,272	-0,364	-0,108
Cox7a2l	9	0,137	0,29	-0,153	-0,06	0,003	-0,063	-0,108
Ces2g	10	-0,138	-0,273	0,135	-0,412	-0,061	-0,351	-0,108
Hoga1	9	-0,283	-0,507	0,224	-0,62	-0,18	-0,44	-0,108
Guca1b	10	-1,206	-0,716	-0,49	-1,433	-1,707	0,274	-0,108
Nme1	8	0,265	0,299	-0,034	-0,079	0,103	-0,182	-0,108
2310047M10Rik	8	-0,418	-0,47	0,052	-0,588	-0,32	-0,268	-0,108
Gmds	10	0,329	0,075	0,254	-0,242	0,228	-0,47	-0,108
Flrt2	10	-0,365	0,047	-0,412	0,006	-0,19	0,196	-0,108
Bud13	9	-1,132	-1,235	0,103	-1,206	-0,887	-0,319	-0,108
Foxd1	9	-0,038	-0,179	0,141	-0,528	-0,172	-0,356	-0,1075
Kcnb2	9	0,434	0,401	0,033	-0,019	0,229	-0,248	-0,1075
Ifna2	8	-0,66	-0,011	-0,649	-0,065	-0,499	0,434	-0,1075
Asb5	10	0,371	0,269	0,102	-0,048	0,269	-0,317	-0,1075
Amigo3	10	0,073	-0,076	0,149	-0,079	0,285	-0,364	-0,1075
Th	9	-0,009	-0,047	0,038	-0,023	0,23	-0,253	-0,1075
Gm13177	10	0,279	0,346	-0,067	0,302	0,45	-0,148	-0,1075
Rasgef1b	10	0,406	0,31	0,096	-0,05	0,261	-0,311	-0,1075
Slc7a14	9	-0,102	-0,319	0,217	-1,212	-0,78	-0,432	-0,1075
Pla2g4d	10	-0,649	-0,69	0,041	-1,082	-0,827	-0,255	-0,107
Spice1	9	-1,538	-0,85	-0,688	-1,48	-1,954	0,474	-0,107
Pdlim2	9	-0,646	-0,84	0,194	-0,469	-0,061	-0,408	-0,107
Nlrp9c	10	0,349	0,44	-0,091	0,289	0,412	-0,123	-0,107
Plekhg6	6	0,223	0,278	-0,055	-0,02	0,139	-0,159	-0,107
Abl2	10	0,091	0,256	-0,165	0,059	0,108	-0,049	-0,107
Aco1	9	0,09	0,248	-0,158	0,103	0,159	-0,056	-0,107
Npas3	10	-0,255	-0,059	-0,196	-0,19	-0,172	-0,018	-0,107
Zfp658	9	-0,092	-0,265	0,173	-0,394	-0,007	-0,387	-0,107
Dazl	9	0,342	0,309	0,033	-0,137	0,11	-0,247	-0,107
Ttf1	8	-1,671	-1,905	0,234	-2,537	-2,089	-0,448	-0,107
Tmem158	8	0,024	0,145	-0,121	0,189	0,282	-0,093	-0,107
Actc1	10	0,335	0,261	0,074	0,067	0,355	-0,288	-0,107
Mkks	10	0,07	0,3	-0,23	0,157	0,141	0,016	-0,107
Dcn	9	0,286	0,57	-0,284	0,392	0,322	0,07	-0,107
Rnf138rt1	10	0,474	0,399	0,075	0,245	0,533	-0,288	-0,1065
Cox10	10	-3,326	-3,764	0,438	-4,632	-3,981	-0,651	-0,1065
Akr1c20	10	0,499	0,406	0,093	0,099	0,405	-0,306	-0,1065
