Gene_Pair	GeneA y Phenotype	GeneB y Phenotype	"GeneAB Observed y Phenotype"	GeneAB RawGI	GeneAB NormGI	GeneAB GIT score	GeneAB GIM score	"Correlation of GI profiles (GIT score)"	"Correlation of GI profiles (GIM score)"	q-values based on GIM score
EPRS__NT5M	-8,873	-0,676	-8,153	0,019	0,020	-0,005	0,567	-0,034	0,029	0,319094884
ATM__SSTR4	-1,456	-1,612	-3,891	-0,009	0,020	-0,005	0,807	0,161	0,247	0,266996253
CARM1__SPHK2	-3,923	-0,950	-5,047	0,013	0,020	-0,005	0,368	0,033	0,070	0,364903485
HCRT__PLA2G4C	-1,411	-0,026	-2,027	0,009	0,020	-0,005	0,519	0,046	0,032	0,329732801
GALK1__NTRK1	-1,781	-0,861	-2,434	0,011	0,020	-0,005	0,579	0,125	0,149	0,316883354
PRKAA1__PTP4A3	-0,215	-0,976	-1,106	0,012	0,020	-0,005	0,438	0,179	0,123	0,349059832
MAP3K4__POMC	-1,918	-0,616	-2,803	0,010	0,020	-0,005	0,976	0,089	0,121	0,233996735
CHD1__DAPK3	-1,547	-0,316	-2,085	0,011	0,020	-0,004	0,338	-0,001	0,018	0,370607833
ADRBK1__PRKCA	-0,953	-0,440	-1,442	0,011	0,020	-0,004	0,369	0,015	0,052	0,364857844
CDK8__MAPK12	-1,445	-3,067	-6,589	-0,002	0,020	-0,004	0,625	0,040	0,065	0,307602135
CLK3__FGFR3	-0,453	-0,912	-0,987	0,011	0,020	-0,004	0,387	0,163	0,145	0,360623769
CAMK1G__MAP2K2	-0,701	-0,367	-1,290	0,015	0,020	-0,004	0,379	0,048	0,072	0,362671976
ATM__NDUFB1	-1,456	-6,822	-8,392	0,013	0,020	-0,004	0,544	-0,072	-0,047	0,32376277
CDK2__MAPK8IP1	-4,432	-0,095	-5,320	0,013	0,019	-0,004	0,445	-0,056	-0,025	0,346982405
EGFR__PIK3CD	0,272	-1,372	-1,297	0,013	0,020	-0,004	0,399	0,092	0,082	0,35702769
NAMPT__NDUFA4	-16,018	-5,357	-19,949	0,089	0,019	-0,004	0,325	0,027	0,100	0,373340698
EPHB2__MC1R	-0,976	-1,588	-2,819	0,012	0,020	-0,003	0,804	0,071	0,122	0,267869801
EGFR__EPHB4	0,272	-0,079	-0,213	0,011	0,020	-0,003	0,320	0,139	0,057	0,374839231
DBH__TYK2	-1,058	-1,079	-2,122	0,002	0,020	-0,003	0,429	0,183	0,154	0,350815778
BCL2L1__LARS2	-5,370	-5,628	-10,822	0,016	0,020	-0,003	0,410	-0,051	-0,070	0,355512676
AMHR2__PLOD1	-1,067	-1,793	-2,707	0,007	0,020	-0,003	0,355	0,188	0,216	0,367383126
TST__TST	-0,442	-0,442	-1,129	0,009	0,020	-0,003	0,637	NA	NA	0,305455767
ERBB4__HCRTR1	-0,217	-3,307	-4,136	0,012	0,020	-0,003	0,314	-0,063	-0,047	0,375773538
NPR1__PPP1CC	-1,211	-1,344	-2,455	0,012	0,020	-0,003	0,488	0,089	0,058	0,336571055
AXL__PLA2G2E	-0,979	-0,827	-1,847	0,016	0,020	-0,003	0,312	0,114	0,083	0,376176266
ACVR1__DOT1L	-0,009	-5,960	-6,736	0,015	0,021	-0,003	0,391	0,080	0,091	0,359484006
HCRT__PIM1	-1,411	-3,019	-4,699	0,014	0,021	-0,003	0,311	0,175	0,173	0,376527804
SSTR5__TAOK2	-1,555	-0,348	-2,373	0,013	0,021	-0,002	0,339	0,132	0,095	0,370360814
GCK__NDUFA4L2	0,031	-1,573	-1,598	0,012	0,021	-0,002	0,416	0,082	0,102	0,353877043
MAPK12__PRSS8	-3,067	-0,778	-4,987	0,017	0,021	-0,002	0,434	0,139	0,125	0,349731295
DDR1__TOP1	-0,649	-10,290	-10,400	0,018	0,021	-0,002	0,456	0,033	0,100	0,344615254
NDUFA4L2__RPS6KA4	-1,573	-1,116	-2,790	0,011	0,021	-0,002	0,609	0,084	0,081	0,311118914
FGFR3__PTPRZ1	-0,912	-0,127	-0,860	0,010	0,021	-0,002	0,349	0,148	0,102	0,368325595
CNTFR__GPI	-2,203	-3,285	-5,596	0,014	0,021	-0,002	0,503	-0,027	-0,043	0,333086683
OXT__PRSS8	-0,939	-0,778	-2,163	0,015	0,021	-0,001	0,313	0,118	0,149	0,376131286
CASK__PRKDC	-0,481	-3,525	-4,090	0,008	0,021	-0,001	0,490	0,025	0,083	0,336095542
NOS2__PTPRJ	-1,122	-1,014	-1,927	0,009	0,021	-0,001	0,366	0,105	0,140	0,365210253
MAP3K8__SRC	-0,015	0,012	-0,585	0,012	0,021	-0,001	0,415	0,133	0,152	0,353863452
CAMK2A__TK1	-0,737	-1,890	-2,873	0,009	0,021	0,000	0,329	0,143	0,103	0,372297899
ACVR1__AMHR2	-0,009	-1,067	-1,156	0,012	0,021	0,000	0,383	0,087	0,031	0,361217022
CASK__CYP26A1	-0,481	-1,114	-1,171	0,013	0,021	0,000	0,523	0,132	0,104	0,328724953
RELA__TPSAB1	-0,822	-2,436	-3,029	0,013	0,021	0,000	0,531	0,193	0,222	0,327114857
BSG__SPHK2	-4,293	-0,950	-5,142	0,017	0,021	0,000	0,362	-0,072	-0,043	0,365913453
CD22__PPP1CC	-0,503	-1,344	-1,694	0,013	0,021	0,000	0,937	0,196	0,129	0,24165793
DMPK__PLA2G2E	-1,362	-0,827	-2,272	0,012	0,021	0,000	0,344	0,144	0,144	0,36956127
DBH__SPHK1	-1,058	-1,140	-2,030	0,012	0,021	0,001	0,573	-0,050	0,032	0,31812399
CAMK1D__PPP1CC	0,124	-1,344	-1,220	0,012	0,021	0,001	0,332	-0,004	-0,029	0,37209979
CDKN1A__LIG1	-1,754	-2,514	-4,390	0,016	0,021	0,001	0,478	0,137	0,133	0,33908449
KCNA3__SRC	0,011	0,012	0,055	0,011	0,021	0,001	0,849	0,042	0,052	0,257661371
PARP1__PRKAR1A	-3,299	-0,754	-4,039	0,015	0,021	0,001	0,404	-0,012	0,005	0,356414234
PRKCD__SSTR4	0,177	-1,612	-1,842	0,011	0,021	0,001	0,333	0,049	0,049	0,371817818
MAP2K2__NPEPPS	-0,367	-1,323	-1,982	0,012	0,021	0,002	0,551	0,093	0,140	0,322489562
ITGA6__MCAT	-0,877	-12,434	-12,744	0,042	0,021	0,002	0,313	0,003	0,037	0,376089045
BRD2__CAMK2A	-2,558	-0,737	-3,494	0,013	0,022	0,002	0,348	0,002	-0,019	0,36859463
POMC__SLC5A5	-0,616	-0,791	-1,497	0,011	0,022	0,002	0,310	0,099	0,204	0,376617986
ERBB4__MAP2K5	-0,217	-0,580	-0,986	0,015	0,022	0,002	0,399	0,046	0,058	0,357038933
CSF3R__TST	-2,260	-0,442	-2,913	0,013	0,022	0,003	0,359	0,098	0,146	0,366453236
CLK3__FGFR4	-0,453	0,053	-0,393	0,011	0,022	0,003	0,315	-0,033	0,018	0,375603122
IGF1R__PTPRZ1	-4,583	-0,127	-4,735	0,017	0,022	0,003	0,361	-0,022	0,021	0,365804633
LCK__PDK2	-2,887	-1,118	-3,855	0,013	0,022	0,003	0,446	0,119	0,105	0,346837726
FGFR4__PTPRZ1	0,053	-0,127	0,146	0,014	0,022	0,003	0,381	0,133	0,066	0,361931889
PDK2__RELA	-1,118	-0,822	-2,350	0,011	0,022	0,003	0,596	0,066	0,048	0,312701305
SPHK2__TST	-0,950	-0,442	-1,120	0,013	0,022	0,003	0,434	0,125	0,112	0,349558856
DOT1L__PTPRJ	-5,960	-1,014	-7,049	0,023	0,022	0,004	0,333	-0,092	-0,049	0,371874047
NT5M__PFKFB1	-0,676	-0,008	-0,787	0,013	0,022	0,004	0,458	0,013	-0,056	0,3441896
EPHB4__NDUFB1	-0,079	-6,822	-6,968	0,017	0,022	0,004	0,611	0,041	0,068	0,31071049
CIT__PTGIR	-4,565	0,065	-4,430	0,008	0,022	0,004	0,419	-0,017	0,040	0,353267502
PIK3CG__PRKDC	-1,010	-3,525	-4,673	0,021	0,022	0,004	0,647	0,094	0,105	0,303191162
AOC3__BRD2	-1,567	-2,558	-4,117	0,013	0,022	0,004	0,440	0,182	0,140	0,348438083
CSK__LIG1	-1,758	-2,514	-4,427	0,013	0,022	0,004	0,410	-0,006	-0,026	0,355513853
EGFR__ITGA6	0,272	-0,877	-0,725	0,012	0,022	0,004	0,304	0,064	0,087	0,377845449
PIM2__TXN	-2,275	-9,806	-11,914	0,046	0,023	0,004	0,380	-0,069	-0,010	0,362217562
AKT1__DMPK	-1,614	-1,362	-3,278	0,012	0,022	0,004	0,862	0,067	0,069	0,254754296
NDUFB1__SSTR4	-6,822	-1,612	-9,538	0,022	0,022	0,004	0,529	0,093	0,070	0,327469477
IGF1R__PRKCA	-4,583	-0,440	-5,283	0,010	0,022	0,005	0,606	0,089	0,105	0,311450216
AMHR2__NOS2	-1,067	-1,122	-2,496	0,013	0,022	0,005	0,735	0,157	0,189	0,28341119
ACVRL1__ILK	-0,850	-0,704	-1,665	0,012	0,022	0,006	0,387	0,044	0,087	0,360591398
ACY1__LTB4R	-1,630	-1,324	-2,748	0,013	0,022	0,006	0,435	0,102	0,096	0,349614197
CKM__EGFR	-1,322	0,272	-0,759	0,012	0,022	0,006	0,332	0,046	0,081	0,372164488
AKT2__FABP4	-3,476	0,022	-3,464	0,018	0,022	0,006	0,440	0,066	0,092	0,348649938
LTC4S__PRSS8	-1,265	-0,778	-1,883	0,014	0,022	0,006	0,420	0,047	0,123	0,352865202
PTGIR__SLC5A5	0,065	-0,791	-0,782	0,011	0,023	0,006	0,349	0,033	0,039	0,368355803
CDC25B__RET	-1,748	0,245	-1,404	0,015	0,023	0,006	0,434	-0,083	-0,125	0,349701568
CDK12__TST	-5,192	-0,442	-5,330	0,019	0,023	0,006	0,357	-0,028	0,021	0,366704666
BCAT2__NR5A1	-1,032	-0,415	-1,538	0,013	0,023	0,006	0,441	-0,036	-0,002	0,348120585
CDK2__TSPO	-4,432	-1,526	-5,352	0,040	0,024	0,007	0,312	0,033	0,015	0,376374777
DAPK3__GCK	-0,316	0,031	-0,455	0,015	0,023	0,007	0,331	0,059	0,017	0,372121609
BCKDK__FGFR4	-0,637	0,053	-0,822	0,013	0,023	0,007	0,958	0,053	0,128	0,236681223
ADRBK1__PIK3C2B	-0,953	-0,665	-1,757	0,015	0,023	0,007	0,358	-0,018	0,103	0,366599755
AKT1__ERBB3	-1,614	-1,385	-3,210	0,014	0,022	0,007	0,491	0,029	0,071	0,335777638
BCL2L1__IGF1R	-5,370	-4,583	-9,662	0,027	0,023	0,007	0,305	-0,150	-0,109	0,377689872
CASK__UMPS	-0,481	-12,605	-13,609	0,037	0,023	0,007	0,313	-0,017	0,026	0,37599275
AKT1__CHD1	-1,614	-1,547	-3,313	0,014	0,023	0,007	0,344	-0,008	0,008	0,369647304
OXT__PIK3R2	-0,939	-1,287	-2,459	0,013	0,023	0,008	0,307	0,138	0,093	0,377495866
BIRC5__CSF3R	-9,867	-2,260	-11,246	0,015	0,024	0,008	0,389	0,122	0,050	0,36019003
CAMK2A__GHSR	-0,737	-0,283	-1,368	0,012	0,023	0,008	0,513	0,118	0,146	0,331089644
CAMK1D__KSR1	0,124	-0,783	-1,147	0,013	0,023	0,008	0,468	-0,019	-0,008	0,341320586
DAPK3__SPHK2	-0,316	-0,950	-1,048	0,014	0,024	0,008	0,392	0,013	0,037	0,359255662
EPHA2__RELA	-0,696	-0,822	-1,529	0,015	0,023	0,009	0,365	0,034	0,076	0,365274408
EPHB2__MAP2K7	-0,976	-0,638	-1,642	0,012	0,023	0,009	0,495	0,190	0,146	0,334904533
NOS2__PRSS8	-1,122	-0,778	-2,446	0,012	0,023	0,009	0,388	0,133	0,189	0,360380657
KSR1__XIAP	-0,783	-2,451	-2,192	0,012	0,023	0,009	0,461	-0,082	-0,036	0,343550002
CAMK2A__HMGA1	-0,737	-5,600	-6,395	0,011	0,023	0,010	0,404	0,151	0,187	0,356237103
CYP26A1__KSR1	-1,114	-0,783	-2,382	0,014	0,024	0,010	0,394	0,194	0,210	0,358525068
NPY4R__SPHK1	-2,263	-1,140	-4,066	0,017	0,025	0,010	0,330	-0,016	-0,026	0,372169446
ITGA6__PIM2	-0,877	-2,275	-3,276	0,014	0,024	0,010	0,413	-0,025	-0,040	0,354553567
CNTFR__RPS6KA2	-2,203	-0,478	-2,893	0,015	0,024	0,010	0,405	0,087	0,134	0,356140286
ERBB4__PRKCZ	-0,217	-1,211	-1,672	0,010	0,024	0,010	0,491	0,113	0,146	0,335857783
MAP3K3__PKLR	-1,218	-1,080	-2,258	0,012	0,023	0,010	0,509	0,066	0,089	0,33190682
CIT__GHSR	-4,565	-0,283	-4,843	0,015	0,024	0,011	0,359	-0,001	0,021	0,366320729
ALK__CSK	-0,898	-1,758	-3,120	0,016	0,023	0,011	0,309	0,102	0,125	0,376825661
MASP2__STMN1	-0,472	-3,308	-4,234	0,014	0,023	0,011	0,613	0,151	0,142	0,310732657
MAPK3__NAMPT	-1,014	-16,018	-16,873	0,062	0,023	0,011	0,339	0,118	0,117	0,370431117
ERBB3__MAP3K4	-1,385	-1,918	-3,665	0,016	0,023	0,011	0,479	0,021	0,038	0,338679425
IL12A__TST	-0,186	-0,442	-0,452	0,012	0,024	0,011	0,377	0,055	-0,014	0,3629064
CAMK2A__LTB4R	-0,737	-1,324	-1,961	0,014	0,024	0,011	0,359	0,174	0,113	0,366425656
AGPAT1__CDK12	-2,019	-5,192	-7,545	0,014	0,024	0,011	0,499	0,098	0,143	0,334099326
GPI__KSR1	-3,285	-0,783	-4,236	0,016	0,024	0,011	0,410	0,055	0,081	0,355511896
CAMK2A__PTK6	-0,737	-0,728	-1,772	0,014	0,024	0,012	0,527	0,164	0,187	0,328172667
MAP3K5__MAP4K1	-0,220	-0,584	-0,879	0,013	0,024	0,012	0,304	0,144	0,181	0,377900719
CAMK2G__NDUFA4L2	-1,296	-1,573	-2,929	0,016	0,024	0,012	0,439	0,148	0,210	0,348768982
KDM1A__SLC16A8	-9,378	-1,458	-10,580	-0,015	0,024	0,012	0,364	0,133	0,177	0,365434208
BSG__EHMT2	-4,293	-0,955	-5,467	0,016	0,024	0,012	0,326	0,098	0,097	0,373162523
CAMK2G__NTRK1	-1,296	-0,861	-2,173	0,014	0,024	0,012	0,602	0,057	0,033	0,312104844
CDKN1A__IGF1R	-1,754	-4,583	-6,445	0,019	0,024	0,012	0,460	-0,008	0,038	0,343812325
DCK__XIAP	-1,100	-2,451	-3,710	0,018	0,024	0,012	0,486	0,102	0,084	0,337233476
GPI__PTGIR	-3,285	0,065	-2,935	0,016	0,024	0,012	0,485	-0,093	-0,094	0,337591941
PIK3C2B__PIK3CB	-0,665	0,064	-0,673	0,012	0,025	0,012	0,568	0,077	0,016	0,319270567
BCKDK__JAK3	-0,637	-0,991	-1,799	0,014	0,024	0,012	0,649	0,148	0,189	0,302639931
FGFR2__TK1	-0,533	-1,890	-2,245	0,015	0,024	0,013	0,449	0,117	0,065	0,346266516
MAP2K5__PFKFB1	-0,580	-0,008	-0,622	0,012	0,024	0,013	0,332	-0,018	0,002	0,372105314
ITGB7__SKP2	-1,477	-3,289	-4,668	0,008	0,024	0,014	0,358	0,201	0,159	0,366530119
DDR1__MAP3K8	-0,649	-0,015	-0,789	0,016	0,024	0,014	0,568	0,124	0,151	0,31919255
PPP1CC__SLC16A8	-1,344	-1,458	-3,029	0,015	0,025	0,014	0,890	0,094	0,092	0,249002624
LTC4S__SPHK2	-1,265	-0,950	-2,253	0,027	0,026	0,015	0,391	0,113	0,121	0,359480802
EHMT2__UMPS	-0,955	-12,605	-13,031	0,036	0,025	0,015	0,562	-0,008	0,035	0,320218406
FN3K__XIAP	-0,827	-2,451	-2,869	0,015	0,024	0,015	0,434	0,014	0,045	0,349696369
NT5M__SLC16A8	-0,676	-1,458	-2,299	0,014	0,025	0,015	0,311	0,128	0,185	0,376515571
MAPK8IP1__PIK3CG	-0,095	-1,010	-1,085	0,019	0,025	0,015	0,357	0,003	0,063	0,366800945
CLK3__GALK1	-0,453	-1,781	-2,049	0,015	0,027	0,015	0,443	0,002	-0,027	0,347682168
CAMK2G__JAK3	-1,296	-0,991	-2,414	0,015	0,025	0,015	0,354	-0,017	0,040	0,367499782
CIT__FGFR4	-4,565	0,053	-4,446	0,019	0,024	0,015	0,383	-0,035	-0,024	0,361380684
CKM__GRM2	-1,322	-0,213	-1,590	0,013	0,024	0,015	0,306	0,106	0,144	0,377531286
BRCA2__CA9	-3,688	-2,644	-6,309	0,023	0,025	0,015	0,593	0,119	0,213	0,313352367
MAPK8IP1__POMC	-0,095	-0,616	-0,470	0,027	0,027	0,015	0,333	0,095	0,083	0,371781355
OXT__TST	-0,939	-0,442	-1,439	0,013	0,025	0,016	0,773	0,206	0,188	0,274696575
AKT1__CDKN1A	-1,614	-1,754	-3,389	0,015	0,024	0,016	0,302	-0,013	0,028	0,378234196
CASK__MC1R	-0,481	-1,588	-1,904	0,015	0,025	0,016	0,363	0,133	0,133	0,365863144
CDK2__PPP1CC	-4,432	-1,344	-6,103	0,020	0,029	0,017	0,331	-0,001	0,088	0,372132861
CAMK2B__ERBB4	-0,060	-0,217	-0,364	0,013	0,025	0,017	0,523	0,237	0,211	0,32884002
DCXR__EHMT2	-1,067	-0,955	-3,931	0,020	0,025	0,017	0,587	0,100	0,130	0,314752784
CA9__GRM2	-2,644	-0,213	-2,530	0,012	0,025	0,017	0,407	-0,071	-0,061	0,355873693
GRM2__PRKAA1	-0,213	-0,215	-0,682	0,012	0,025	0,017	1,020	0,066	0,087	0,226027593
DOT1L__FABP4	-5,960	0,022	-6,181	0,022	0,025	0,018	0,318	0,105	0,101	0,375413612
CSF1R__MAP2K2	-0,238	-0,367	-0,980	0,013	0,025	0,018	0,492	-0,014	0,081	0,335470749
AMHR2__DAPK3	-1,067	-0,316	-1,137	0,016	0,025	0,018	0,854	-0,050	0,013	0,256140042
CLK3__NAGK	-0,453	-0,739	-1,580	0,017	0,027	0,018	0,527	-0,001	0,025	0,327920087
CKM__GCK	-1,322	0,031	-1,388	0,014	0,025	0,018	0,475	0,061	0,052	0,339901757
AXL__OXT	-0,979	-0,939	-2,096	0,013	0,025	0,018	0,314	0,156	0,188	0,375881279
BCL2L2__PRKCZ	-1,926	-1,211	-3,396	0,015	0,025	0,018	0,871	0,049	0,131	0,252879766
DDR2__KDM1A	-0,085	-9,378	-9,795	0,033	0,025	0,019	0,484	0,040	0,052	0,337619434
P2RY6__TAOK2	-0,760	-0,348	-1,154	0,018	0,025	0,019	0,835	0,154	0,183	0,26103845
CAMK1D__TK1	0,124	-1,890	-2,105	0,019	0,027	0,019	0,350	-0,096	-0,084	0,368205199
MMP14__PTPRJ	-0,159	-1,014	-0,981	0,014	0,025	0,019	0,681	0,010	0,066	0,295285289
AXL__SSTR4	-0,979	-1,612	-2,630	0,015	0,026	0,019	0,387	0,153	0,110	0,360583846
HCRT__LTB4R	-1,411	-1,324	-2,656	0,014	0,025	0,019	0,437	0,028	0,021	0,349203013
BRCA2__MAP3K10	-3,688	-1,090	-5,005	0,016	0,025	0,020	0,356	0,098	0,107	0,367137235
CD22__TK1	-0,503	-1,890	-2,867	0,020	0,026	0,020	0,321	0,022	0,028	0,37459853
DCXR__MAP3K5	-1,067	-0,220	-1,345	0,014	0,026	0,020	0,542	0,029	0,038	0,32435824
GALK1__GCK	-1,781	0,031	-1,692	0,017	0,027	0,020	0,379	0,023	0,008	0,36267963
RET__TSPO	0,245	-1,526	-1,652	0,019	0,025	0,020	0,444	-0,043	-0,012	0,347074142
BCL2L2__PFKFB1	-1,926	-0,008	-2,000	0,018	0,026	0,020	0,473	-0,062	-0,022	0,34010009
APEX1__FGFR3	-2,369	-0,912	-3,373	0,015	0,026	0,020	0,474	0,092	0,084	0,340016049
EGFR__HCRT	0,272	-1,411	-1,076	0,015	0,026	0,020	0,421	0,057	-0,003	0,352468497
EDA__GALK1	-2,372	-1,781	-3,951	0,017	0,026	0,020	0,386	0,089	0,080	0,360613975
NPR1__PIM1	-1,211	-3,019	-4,192	0,017	0,025	0,020	0,445	-0,023	0,008	0,347000574
EPRS__MAP2K7	-8,873	-0,638	-6,912	0,026	0,027	0,020	0,670	-0,026	0,025	0,297412574
GMPS__SRC	-9,083	0,012	-9,915	-0,002	0,026	0,021	0,976	0,026	0,044	0,233820978
CAMK1G__PNMT	-0,701	-0,507	-1,015	0,014	0,026	0,021	0,578	0,140	0,154	0,317047904
BCL2L2__PRODH	-1,926	-2,250	-4,081	0,020	0,026	0,021	0,393	0,142	0,210	0,359012706
MC1R__SRC	-1,588	0,012	-1,713	0,014	0,026	0,021	0,421	0,128	0,085	0,352538335
CAMK1G__NOS2	-0,701	-1,122	-1,674	0,015	0,025	0,021	0,909	0,262	0,237	0,246179325
CIT__CNTFR	-4,565	-2,203	-6,224	0,019	0,027	0,022	0,576	0,033	0,000	0,317453898
HMGA1__IGF1R	-5,600	-4,583	-10,446	0,037	0,026	0,022	0,428	0,059	0,102	0,350977896
BRD2__SKP2	-2,558	-3,289	-5,944	0,020	0,026	0,022	0,447	0,040	0,012	0,346638214
AMHR2__AOC1	-1,067	-0,898	-1,853	0,015	0,025	0,022	0,420	0,104	0,102	0,352800584
NDUFB1__PRKCA	-6,822	-0,440	-7,167	0,028	0,028	0,022	0,980	0,075	0,094	0,233559588
MAP3K4__NPY4R	-1,918	-2,263	-3,745	0,013	0,027	0,022	0,395	0,117	0,181	0,358396971
CLK3__CYP26A1	-0,453	-1,114	-1,621	0,017	0,030	0,022	0,459	0,050	0,045	0,343882992
FGFR2__GRIK5	-0,533	-0,078	-0,503	0,013	0,026	0,022	0,368	0,144	0,199	0,364925097
CYP26A1__INPP1	-1,114	-0,451	-1,727	0,017	0,027	0,022	0,887	0,003	0,092	0,249851769
CSK__DCXR	-1,758	-1,067	-3,022	0,015	0,025	0,023	0,311	0,193	0,223	0,376440899
ACY1__GRB2	-1,630	-16,836	-18,868	0,114	0,038	0,023	0,313	-0,086	-0,034	0,376103242
EPHA2__MCL1	-0,696	-2,489	-3,525	0,016	0,027	0,023	0,729	0,045	0,023	0,284507871
KCNA3__PKLR	0,011	-1,080	-1,743	0,012	0,026	0,023	0,923	0,166	0,194	0,243732958
MAP2K7__MST1R	-0,638	-0,732	-1,285	0,014	0,026	0,023	0,424	0,216	0,169	0,351860437
CA9__KCNA3	-2,644	0,011	-2,498	0,018	0,027	0,023	0,362	-0,022	-0,057	0,365845418
CSNK1G2__MST1R	-1,166	-0,732	-1,713	0,018	0,027	0,024	0,321	0,157	0,153	0,374634015
MCAT__RPS6KA2	-12,434	-0,478	-13,217	0,039	0,027	0,024	0,488	0,009	-0,013	0,336594255
BCL2L2__CDK5	-1,926	-0,143	-1,740	0,013	0,026	0,024	0,539	0,098	0,132	0,32543706
AKT2__CDK8	-3,476	-1,445	-5,101	0,017	0,027	0,024	0,415	0,094	0,067	0,353960681
IGF1R__KSR1	-4,583	-0,783	-5,510	0,021	0,027	0,024	0,358	0,073	0,144	0,366540818
ALPL__EGFR	-0,749	0,272	-0,707	0,015	0,027	0,025	0,321	0,093	0,053	0,374428981
NPR2__PIK3CG	-2,336	-1,010	-3,522	0,016	0,027	0,025	0,359	0,063	0,049	0,366302503
EHMT2__NPR1	-0,955	-1,211	-3,296	0,019	0,027	0,025	0,394	0,002	0,040	0,358619023
BCKDK__XPO1	-0,637	-11,396	-12,536	0,039	0,029	0,025	0,448	-0,052	-0,030	0,346531533
BRCA2__DOT1L	-3,688	-5,960	-10,034	0,027	0,026	0,025	0,461	0,027	-0,004	0,343323381
AKT2__HCRT	-3,476	-1,411	-5,171	0,017	0,027	0,025	0,426	0,079	0,057	0,351344461
ACVR1__DCXR	-0,009	-1,067	-1,166	0,020	0,028	0,025	0,390	0,125	0,152	0,359730023
FGFR2__IGF1R	-0,533	-4,583	-5,249	0,021	0,027	0,025	0,340	-0,007	0,054	0,370161061
CSNK1G2__SPHK1	-1,166	-1,140	-2,314	0,016	0,027	0,025	0,552	0,076	0,130	0,322218515
APEX1__CLK3	-2,369	-0,453	-3,135	0,026	0,031	0,025	0,303	0,080	0,097	0,378171997
IGF1R__PTPRJ	-4,583	-1,014	-5,323	0,020	0,028	0,025	0,476	-0,036	-0,037	0,339534829
JAK3__PRODH	-0,991	-2,250	-3,265	0,016	0,029	0,025	0,367	0,004	0,097	0,364989191
CSNK1G2__PLA2G4C	-1,166	-0,026	-1,243	0,009	0,027	0,026	0,478	0,010	0,012	0,339086274
CRYBB1__POMC	-0,615	-0,616	-1,743	0,016	0,030	0,026	0,615	0,026	0,019	0,310359944
CDK2__MAP4K1	-4,432	-0,584	-4,980	0,017	0,031	0,026	0,392	0,004	-0,009	0,359345262
MAP3K8__MAPK3	-0,015	-1,014	-1,171	0,014	0,027	0,026	0,349	0,054	0,011	0,368431738
CDK12__EPHB2	-5,192	-0,976	-5,777	0,016	0,027	0,026	0,340	0,076	0,061	0,37015861
CSF1R__NR5A1	-0,238	-0,415	-0,815	0,015	0,028	0,026	0,625	0,062	0,065	0,307621519
MAP3K10__MAP3K4	-1,090	-1,918	-3,021	0,014	0,026	0,026	0,403	0,023	0,028	0,356446768
GRM2__MAP3K8	-0,213	-0,015	0,027	0,016	0,027	0,026	0,333	0,039	0,018	0,37175024
SLC5A5__UMPS	-0,791	-12,605	-12,998	0,046	0,028	0,026	0,309	-0,074	-0,059	0,377001489
CAMK1G__PTGER1	-0,701	-0,443	-1,304	0,016	0,027	0,027	0,528	0,069	0,072	0,32789768
DDR1__PIK3C2B	-0,649	-0,665	-1,397	0,015	0,028	0,027	0,379	0,139	0,103	0,362524488
BCKDK__TXN	-0,637	-9,806	-10,285	0,034	0,029	0,027	0,398	0,024	0,059	0,357256946
PTPRZ1__TPSAB1	-0,127	-2,436	-2,630	0,020	0,028	0,027	0,356	0,053	0,051	0,367028659
CARM1__FGFR3	-3,923	-0,912	-5,012	0,007	0,028	0,027	0,361	0,101	0,180	0,366032036
CYP11B2__PNMT	-0,595	-0,507	-1,017	0,013	0,027	0,027	0,428	-0,015	0,009	0,350788402
MCAT__SLC16A5	-12,434	-1,334	-13,358	0,046	0,029	0,027	0,456	0,022	0,013	0,344420599
EPRS__SRC	-8,873	0,012	-8,206	0,035	0,029	0,027	0,508	-0,024	-0,038	0,332359
TST__UCK2	-0,442	-0,763	-1,345	0,016	0,028	0,027	0,428	0,062	0,063	0,350907858
DBH__PIK3C2B	-1,058	-0,665	-1,787	0,036	0,028	0,028	0,439	0,193	0,240	0,348823455
NOS2__PTP4A3	-1,122	-0,976	-1,867	0,016	0,027	0,028	0,467	0,055	0,064	0,341680118
DAPK3__TAOK2	-0,316	-0,348	-0,699	0,013	0,028	0,028	0,361	0,110	0,139	0,36600742
CAMK2A__EDA	-0,737	-2,372	-3,094	0,021	0,028	0,028	0,641	0,007	0,054	0,304532802
GRM2__LIG1	-0,213	-2,514	-2,762	0,019	0,028	0,028	0,358	0,136	0,139	0,366531334
FGFR2__HCK	-0,533	-0,685	-1,056	0,013	0,028	0,028	0,326	0,087	0,082	0,373286367
MST1R__PRKCD	-0,732	0,177	-0,864	0,013	0,027	0,028	0,402	0,154	0,128	0,356615482
FGFR4__LTC4S	0,053	-1,265	-1,000	0,016	0,027	0,028	0,568	0,048	0,056	0,31903545
AGPAT1__KCNA3	-2,019	0,011	-2,712	0,021	0,028	0,028	0,459	-0,016	0,014	0,344006137
PTGIR__TYK2	0,065	-1,079	-1,099	0,013	0,027	0,028	0,496	0,074	0,018	0,334733196
DCXR__SRC	-1,067	0,012	-1,415	0,015	0,027	0,028	0,367	-0,017	0,020	0,364991157
PIM1__SPHK1	-3,019	-1,140	-4,215	0,020	0,028	0,028	0,358	0,115	0,121	0,366562527
